ClientID,Sex,Education,Marriage,Age,Age Band,Credit Limit,Credit Limit Band,Utilization Rate,Ever Delayed,Max Delay (months),Months Delayed (count),Payment Trend,Risk Segment,Default
1,Female,University,Married,24,21-30,20000,Q1 (lowest),0.0642,Yes,2,2,0,Medium risk (one factor),Default
2,Female,University,Single,26,21-30,120000,Q3,0.0237180555555555,Yes,2,2,-2000,Medium risk (one factor),Default
3,Female,University,Single,34,31-40,90000,Q2,0.1882462962962963,No,0,0,-3482,Low risk (neither),No default
4,Female,University,Married,37,31-40,50000,Q1 (lowest),0.7711133333333333,No,0,0,1000,Medium risk (one factor),No default
5,Male,University,Married,57,51-60,50000,Q1 (lowest),0.3644633333333333,No,0,0,1321,Medium risk (one factor),No default
6,Male,Graduate school,Single,37,31-40,50000,Q1 (lowest),0.7937133333333333,No,0,0,1700,Medium risk (one factor),No default
7,Male,Graduate school,Single,29,21-30,500000,Q5 (highest),0.9081983333333332,No,0,0,41230,Medium risk (one factor),No default
8,Female,University,Single,23,21-30,100000,Q2,0.0224766666666666,No,0,0,-1162,Low risk (neither),No default
9,Female,High school,Married,28,21-30,140000,Q3,0.0776333333333333,Yes,2,1,2329,Medium risk (one factor),No default
10,Male,High school,Single,35,31-40,20000,Q1 (lowest),0.224325,No,0,0,0,Low risk (neither),No default
11,Female,High school,Single,34,31-40,200000,Q4,0.0287225,Yes,2,1,2240,Medium risk (one factor),No default
12,Female,Graduate school,Single,51,51-60,260000,Q4,0.0566467948717948,Yes,2,1,18178,Medium risk (one factor),No default
13,Female,University,Single,41,41-50,630000,Q5 (highest),0.0108484126984127,No,0,0,1000,Low risk (neither),No default
14,Male,University,Single,30,21-30,70000,Q2,0.8063928571428571,Yes,2,4,3200,High risk (delayed + high util),Default
15,Male,Graduate school,Single,29,21-30,250000,Q4,0.2490606666666666,No,0,0,0,Low risk (neither),No default
16,Female,High school,Others,23,21-30,50000,Q1 (lowest),0.65472,Yes,2,2,-1100,High risk (delayed + high util),No default
17,Male,Graduate school,Single,24,21-30,20000,Q1 (lowest),0.884675,Yes,2,4,3200,High risk (delayed + high util),Default
18,Male,Graduate school,Married,49,41-50,320000,Q5 (highest),0.5031322916666667,No,0,0,-39642,Medium risk (one factor),No default
19,Female,Graduate school,Married,49,41-50,360000,Q5 (highest),0.0,Yes,1,1,0,Medium risk (one factor),No default
20,Female,Graduate school,Single,29,21-30,180000,Q3,0.0,Yes,1,1,0,Medium risk (one factor),No default
21,Female,High school,Single,39,31-40,130000,Q3,0.1588243589743589,No,0,0,-30764,Low risk (neither),No default
22,Female,University,Married,39,31-40,120000,Q3,0.0026333333333333,No,0,0,316,Low risk (neither),Default
23,Female,University,Single,26,21-30,70000,Q2,0.6320833333333333,Yes,2,4,187,High risk (delayed + high util),Default
24,Female,Graduate school,Married,40,31-40,450000,Q5 (highest),0.009987037037037,No,0,0,18300,Low risk (neither),Default
25,Male,Graduate school,Single,23,21-30,90000,Q2,0.0590074074074074,No,0,0,3757,Low risk (neither),No default
26,Male,High school,Single,23,21-30,50000,Q1 (lowest),0.7143166666666667,No,0,0,976,Medium risk (one factor),No default
27,Male,Graduate school,Single,27,21-30,60000,Q2,-0.0010944444444444,Yes,1,1,-1000,Medium risk (one factor),Default
28,Female,High school,Single,30,21-30,50000,Q1 (lowest),0.3742266666666666,No,0,0,288,Medium risk (one factor),No default
29,Female,High school,Married,47,41-50,50000,Q1 (lowest),0.1340266666666666,No,0,0,3415,Low risk (neither),No default
30,Male,Graduate school,Single,26,21-30,50000,Q1 (lowest),0.3236066666666666,No,0,0,1500,Medium risk (one factor),No default
31,Female,Graduate school,Single,27,21-30,230000,Q4,0.0824246376811594,No,0,0,17270,Low risk (neither),No default
32,Male,University,Single,33,31-40,50000,Q1 (lowest),0.50623,Yes,2,1,1002,High risk (delayed + high util),Default
33,Male,Graduate school,Single,32,31-40,100000,Q2,0.825395,No,0,0,519,Medium risk (one factor),No default
34,Female,University,Married,54,51-60,500000,Q5 (highest),0.0419146666666666,No,0,0,-47430,Low risk (neither),No default
35,Male,Graduate school,Married,58,51-60,500000,Q5 (highest),0.0194393333333333,No,0,0,4238,Low risk (neither),No default
36,Male,Graduate school,Single,30,21-30,160000,Q3,0.0263666666666666,No,0,0,131,Low risk (neither),No default
37,Male,University,Married,40,31-40,280000,Q5 (highest),0.6368910714285714,No,0,0,1289,Medium risk (one factor),No default
38,Female,University,Single,22,21-30,60000,Q2,0.0896638888888888,No,0,0,883,Low risk (neither),No default
39,Male,Graduate school,Single,25,21-30,50000,Q1 (lowest),0.0026,Yes,1,1,780,Medium risk (one factor),Default
40,Male,Graduate school,Single,31,31-40,280000,Q5 (highest),0.0307398809523809,Yes,2,1,8294,Medium risk (one factor),No default
41,Male,Graduate school,Single,33,31-40,360000,Q5 (highest),0.7642365740740741,No,0,0,6000,Medium risk (one factor),No default
42,Female,Graduate school,Single,25,21-30,70000,Q2,0.9353714285714284,No,0,0,500,Medium risk (one factor),No default
43,Male,University,Single,22,21-30,10000,Q1 (lowest),0.37935,No,0,0,1000,Medium risk (one factor),No default
44,Female,University,Married,37,31-40,140000,Q3,0.4584928571428571,No,0,0,0,Medium risk (one factor),No default
45,Female,Graduate school,Single,30,21-30,40000,Q1 (lowest),0.6132708333333333,Yes,2,1,3000,High risk (delayed + high util),No default
46,Male,Graduate school,Single,29,21-30,210000,Q4,0.0,No,0,0,0,Low risk (neither),Default
47,Female,Graduate school,Single,22,21-30,20000,Q1 (lowest),0.6610666666666667,Yes,2,1,3000,High risk (delayed + high util),Default
48,Female,Others,Single,46,41-50,150000,Q3,0.01093,No,0,0,1013,Low risk (neither),Default
49,Male,University,Single,32,31-40,380000,Q5 (highest),0.0503574561403508,No,0,0,13289,Low risk (neither),No default
50,Male,Graduate school,Single,24,21-30,20000,Q1 (lowest),0.9650833333333334,No,0,0,249,Medium risk (one factor),No default
51,Male,High school,Single,42,41-50,70000,Q2,0.5452666666666667,Yes,2,5,-1500,High risk (delayed + high util),Default
52,Female,High school,Others,43,41-50,100000,Q2,0.441975,No,0,0,1000,Medium risk (one factor),No default
53,Female,University,Married,49,41-50,310000,Q5 (highest),0.0237231182795698,No,0,0,7875,Low risk (neither),No default
54,Female,Graduate school,Single,25,21-30,180000,Q3,0.2399546296296296,Yes,2,2,-322,Medium risk (one factor),No default
55,Female,Graduate school,Single,29,21-30,150000,Q3,0.19639,Yes,2,1,-3400,Medium risk (one factor),No default
56,Female,Graduate school,Married,45,41-50,500000,Q5 (highest),0.002796,No,0,0,3640,Low risk (neither),No default
57,Female,High school,Married,34,31-40,180000,Q3,0.0513,No,0,0,6500,Low risk (neither),No default
58,Female,University,Married,34,31-40,180000,Q3,0.8818166666666667,No,0,0,4283,Medium risk (one factor),No default
59,Female,Graduate school,Single,34,31-40,200000,Q4,0.0056225,Yes,3,5,0,Medium risk (one factor),No default
60,Female,University,Married,29,21-30,400000,Q5 (highest),0.951725,No,0,0,-6000,Medium risk (one factor),No default
61,Female,High school,Married,28,21-30,500000,Q5 (highest),0.0365663333333333,No,0,0,-484,Low risk (neither),Default
62,Male,University,Married,39,31-40,70000,Q2,0.5815285714285714,No,0,0,4025,Medium risk (one factor),No default
63,Male,Graduate school,Single,29,21-30,50000,Q1 (lowest),0.52558,Yes,2,6,0,High risk (delayed + high util),Default
64,Female,University,Married,46,41-50,50000,Q1 (lowest),0.1929466666666666,No,0,0,1000,Low risk (neither),Default
65,Female,University,Married,51,51-60,130000,Q3,0.0031435897435897,No,0,0,0,Low risk (neither),No default
66,Male,Graduate school,Married,57,51-60,200000,Q4,0.3913633333333333,Yes,2,2,-1000,High risk (delayed + high util),Default
67,Male,University,Married,56,51-60,10000,Q1 (lowest),0.3808666666666666,Yes,2,3,2140,High risk (delayed + high util),Default
