ClientID,Month Offset,Bill Amount,Payment Amount,Pay Status Code,Default
1,-5,0,0,-2,Default
1,-4,0,0,-2,Default
1,-3,0,0,-1,Default
1,-2,689,0,-1,Default
1,-1,3102,689,2,Default
1,0,3913,0,2,Default
2,-5,3261,2000,2,Default
2,-4,3455,0,0,Default
2,-3,3272,1000,0,Default
2,-2,2682,1000,0,Default
2,-1,1725,1000,2,Default
2,0,2682,0,-1,Default
3,-5,15549,5000,0,No default
3,-4,14948,1000,0,No default
3,-3,14331,1000,0,No default
3,-2,13559,1000,0,No default
3,-1,14027,1500,0,No default
3,0,29239,1518,0,No default
4,-5,29547,1000,0,No default
4,-4,28959,1069,0,No default
4,-3,28314,1100,0,No default
4,-2,49291,1200,0,No default
4,-1,48233,2019,0,No default
4,0,46990,2000,0,No default
5,-5,19131,679,0,No default
5,-4,19146,689,0,No default
5,-3,20940,9000,0,No default
5,-2,35835,10000,-1,No default
5,-1,5670,36681,0,No default
5,0,8617,2000,-1,No default
6,-5,20024,800,0,No default
6,-4,19619,1000,0,No default
6,-3,19394,1000,0,No default
6,-2,57608,657,0,No default
6,-1,57069,1815,0,No default
6,0,64400,2500,0,No default
7,-5,473944,13770,0,No default
7,-4,483003,13750,0,No default
7,-3,542653,20239,0,No default
7,-2,445007,38000,0,No default
7,-1,412023,40000,0,No default
7,0,367965,55000,0,No default
8,-5,567,1542,-1,No default
8,-4,-159,1687,0,No default
8,-3,221,581,0,No default
8,-2,601,0,-1,No default
8,-1,380,601,-1,No default
8,0,11876,380,0,No default
9,-5,3719,1000,0,No default
9,-4,11793,1000,0,No default
9,-3,12211,1000,0,No default
9,-2,12108,432,2,No default
9,-1,14096,0,0,No default
9,0,11285,3329,0,No default
10,-5,13912,0,-1,No default
10,-4,13007,1122,-1,No default
10,-3,0,13007,-2,No default
10,-2,0,0,-2,No default
10,-1,0,0,-2,No default
10,0,0,0,-2,No default
11,-5,3731,66,-1,No default
11,-4,1828,3738,0,No default
11,-3,2513,300,0,No default
11,-2,5535,50,2,No default
11,-1,9787,12,0,No default
11,0,11073,2306,0,No default
12,-5,13668,3640,2,No default
12,-4,22287,0,-1,No default
12,-3,8517,22301,-1,No default
12,-2,9966,8583,-1,No default
12,-1,21670,9966,-1,No default
12,0,12261,21818,-1,No default
13,-5,2870,0,-1,No default
13,-4,6500,2870,-1,No default
13,-3,6500,6500,-1,No default
13,-2,6500,6500,-1,No default
13,-1,6500,6500,0,No default
13,0,12137,1000,-1,No default
14,-5,36894,0,2,Default
14,-4,36137,1500,0,Default
14,-3,66782,3000,0,Default
14,-2,65701,3000,2,Default
14,-1,67369,0,2,Default
14,0,65802,3200,1,Default
15,-5,55512,3000,0,No default
15,-4,56875,3000,0,No default
15,-3,59696,3000,0,No default
15,-2,63561,3000,0,No default
15,-1,67060,3000,0,No default
15,0,70887,3000,0,No default
16,-5,30211,1100,0,No default
16,-4,29531,1300,0,No default
16,-3,28771,1200,0,No default
16,-2,28116,1100,0,No default
16,-1,29173,1500,2,No default
16,0,50614,0,1,No default
17,-5,19104,0,2,Default
17,-4,17905,1650,2,Default
17,-3,18338,0,2,Default
17,-2,17428,1500,2,Default
17,-1,18010,0,0,Default
17,0,15376,3200,0,Default
18,-5,195599,50000,-1,No default
18,-4,5856,195599,-1,No default
18,-3,70074,20000,-1,No default
18,-2,194663,75940,0,No default
18,-1,246536,10000,0,No default
18,0,253286,10358,0,No default
19,-5,0,0,-2,No default
19,-4,0,0,-2,No default
19,-3,0,0,-2,No default
19,-2,0,0,-2,No default
19,-1,0,0,-2,No default
19,0,0,0,1,No default
20,-5,0,0,-2,No default
20,-4,0,0,-2,No default
20,-3,0,0,-2,No default
20,-2,0,0,-2,No default
20,-1,0,0,-2,No default
20,0,0,0,1,No default
21,-5,930,33764,-1,No default
21,-4,11802,930,0,No default
21,-3,20616,2000,0,No default
21,-2,24489,1000,0,No default
21,-1,27688,1537,0,No default
21,0,38358,3000,0,No default
22,-5,316,0,-1,Default
22,-4,632,316,-1,Default
22,-3,0,632,-1,Default
22,-2,316,0,-1,Default
22,-1,316,316,-1,Default
22,0,316,316,-1,Default
23,-5,46012,1820,2,Default
23,-4,46905,0,2,Default
23,-3,44006,3601,2,Default
23,-2,45020,0,0,Default
23,-1,42445,3582,0,Default
23,0,41087,2007,2,Default
24,-5,0,1128,-2,Default
24,-4,0,0,-2,Default
24,-3,560,0,-2,Default
24,-2,1473,560,-2,Default
24,-1,19420,1473,-2,Default
24,0,5512,19428,-2,Default
25,-5,8292,2000,0,No default
25,-4,6360,2045,0,No default
25,-3,5398,1200,-1,No default
25,-2,0,5398,0,No default
25,-1,7070,0,0,No default
25,0,4744,5757,0,No default
26,-5,30046,997,0,No default
26,-4,29829,1062,0,No default
26,-3,28967,1432,0,No default
26,-2,36023,1001,0,No default
26,-1,41810,1426,0,No default
26,0,47620,1973,0,No default
27,-5,-189,1000,-1,Default
27,-4,127,0,-1,Default
27,-3,-57,500,-1,Default
27,-2,259,0,-1,Default
27,-1,-425,1000,-2,Default
27,0,-109,0,1,Default
28,-5,19617,1012,0,No default
28,-4,18931,1000,0,No default
28,-3,17878,1500,0,No default
28,-2,17163,1000,0,No default
28,-1,16138,1300,0,No default
28,0,22541,1300,0,No default
29,-5,257,0,-1,No default
29,-4,30430,257,-1,No default
29,-3,2040,30430,-1,No default
29,-2,3416,2044,-1,No default
29,-1,3415,3421,-1,No default
29,0,650,3415,-1,No default
30,-5,11400,0,0,No default
30,-4,18375,1600,0,No default
30,-3,17907,1000,0,No default
30,-2,17496,1000,0,No default
30,-1,16575,1500,0,No default
30,0,15329,1500,0,No default
31,-5,36923,0,-1,No default
31,-4,14307,37292,-1,No default
31,-3,15339,14307,-1,No default
31,-2,13266,15339,-1,No default
31,-1,17265,13281,-1,No default
31,0,16646,17270,-1,No default
32,-5,23680,716,0,Default
32,-4,23217,1000,0,Default
32,-3,22734,1000,0,Default
32,-2,22102,1000,0,Default
32,-1,29618,1500,0,Default
32,0,30518,1718,2,Default
33,-5,75589,2504,0,No default
33,-4,78703,3200,0,No default
33,-3,80958,3204,0,No default
33,-2,82880,3302,0,No default
33,-1,84071,3511,0,No default
33,0,93036,3023,0,No default
34,-5,8981,51582,-2,No default
34,-4,71439,981,-2,No default
34,-3,7521,71439,-2,No default
34,-2,22722,7521,-2,No default
34,-1,4152,22827,-2,No default
34,0,10929,4152,-2,No default
35,-5,5293,768,-2,No default
35,-4,0,5293,-2,No default
35,-3,3180,0,-2,No default
35,-2,31130,3180,-2,No default
35,-1,5006,31178,-2,No default
35,0,13709,5006,-2,No default
36,-5,-1884,0,-1,No default
36,-4,-1488,792,-2,No default
36,-3,-923,565,-2,No default
36,-2,-527,396,-2,No default
36,-1,-131,396,-1,No default
36,0,30265,131,-1,No default
37,-5,177413,6737,0,No default
37,-4,173901,6400,0,No default
37,-3,170410,6400,0,No default
37,-2,180422,6300,0,No default
37,-1,181328,8060,0,No default
37,0,186503,8026,0,No default
38,-5,18660,617,-1,No default
38,-4,-28335,47671,0,No default
38,-3,6026,0,0,No default
38,-2,11068,2043,0,No default
38,-1,9806,1518,0,No default
38,0,15054,1500,0,No default
39,-5,0,0,-2,Default
39,-4,0,0,-2,Default
39,-3,0,0,-2,Default
39,-2,0,0,-1,Default
39,-1,780,0,-1,Default
39,0,0,780,1,Default
40,-5,9477,781,-1,No default
40,-4,17976,9525,0,No default
40,-3,9976,8000,-1,No default
40,-2,4641,9976,2,No default
40,-1,9075,0,-1,No default
40,0,498,9075,-1,No default
41,-5,179224,4000,0,No default
41,-4,195969,28000,0,No default
41,-3,628699,188840,0,No default
41,-2,206895,6000,0,No default
41,-1,221296,7000,0,No default
41,0,218668,10000,0,No default
42,-5,65970,2500,0,No default
42,-4,64718,2800,0,No default
42,-3,63699,2500,0,No default
42,-2,63949,4042,0,No default
42,-1,66999,4500,0,No default
42,0,67521,3000,0,No default
43,-5,4451,500,0,No default
43,-4,3670,1000,0,No default
43,-3,3576,300,0,No default
43,-2,6003,1000,0,No default
43,-1,3184,2927,0,No default
43,0,1877,1500,0,No default
44,-5,69802,3000,0,No default
44,-4,67079,4000,0,No default
44,-3,64280,4000,0,No default
44,-2,62925,3000,0,No default
44,-1,61544,3000,0,No default
44,0,59504,3000,0,No default
45,-5,29197,0,0,No default
45,-4,26636,3000,0,No default
45,-3,25209,2000,2,No default
45,-2,25921,0,0,No default
45,-1,21295,5000,0,No default
45,0,18927,3000,0,No default
